0178 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0179 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0180 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0181 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0182 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0183 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0184 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0185 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0186 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0187 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0188 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0189 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0190 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0191 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0192 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0193 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0194 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0195 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0196 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0197 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0198 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0199 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0200 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0201 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0202 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0203 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0204 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0205 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0206 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0207 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0208 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0209 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0210 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0211 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0212 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0213 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0214 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0215 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0216 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0217 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0218 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0219 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0220 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0221 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0222 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0223 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0224 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0225 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0226 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0227 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0228 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0229 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0230 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0231 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0232 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0233 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0234 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0235 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0236 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0237 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0238 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0239 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0240 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0241 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0242 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0243 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0244 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0245 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0246 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0247 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0248 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0249 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0250 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0251 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0252 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0253 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0254 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0255 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0256 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0257 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0258 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0259 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0260 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0261 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0262 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0263 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0264 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0265 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0266 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0267 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0268 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0269 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0270 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0271 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0272 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0273 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0274 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0275 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0276 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0277 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0278 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0279 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0280 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0281 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0282 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0283 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0284 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0285 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0286 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0287 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0288 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0289 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0290 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0291 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0292 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0293 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0294 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0295 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0296 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0297 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0298 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0299 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0300 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0301 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0302 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0303 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0304 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0305 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0306 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0307 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0308 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0309 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0310 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0311 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0312 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0313 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0314 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0315 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0316 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0317 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0318 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0319 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0320 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0321 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0322 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0323 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0324 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0325 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0326 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0327 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0328 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0329 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0330 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0331 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0332 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0333 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0334 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0335 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0336 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0337 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0338 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0339 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0340 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0341 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0342 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0343 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0344 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0345 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0346 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0347 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0348 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0349 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0350 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0351 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0352 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0353 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0354 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0355 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0356 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0357 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0358 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0359 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0360 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0361 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0362 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0363 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0364 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0365 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0366 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0367 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0368 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0369 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0370 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0371 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0372 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0373 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0374 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0375 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0376 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0377 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0378 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0379 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0380 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0381 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0382 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0383 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0384 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0385 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0386 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0387 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0388 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0389 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0390 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0391 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0392 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0393 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0394 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0395 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0396 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0397 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0398 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0399 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0400 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0401 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0402 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0403 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0404 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
