Frame 83 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 83 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 84 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 84 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 84 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 85 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 85 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 85 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 86 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 86 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 86 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 87 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 87 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 87 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 88 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 88 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 88 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 89 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 89 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 89 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 90 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 90 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 90 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 91 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 91 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 91 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 92 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 92 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 92 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 93 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 93 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 93 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 94 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 94 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 94 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 95 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
